# The overall sentiment ranges from -1 through +1,,,,,
,,,,,
#considering 10 Clusters:,,,,,
  Cluster id  ,  Average  ,  Min  ,  Max  ,  SD  ,  Tweet  
1,0.000769643,-0.1531,0.2023,0.038331904,‰ÏÁ #Israel #JPOST: WATCH: IDF field hospital opens doors in earthquake-ravaged Nepal http://t.co/MlB4upmZqt
2,0.604831034,0.3818,0.7579,0.101950864,RT @narendramodi: Received a call from Pujya Morari Bapu. He has donated Rs. 51 lakh for relief work in Nepal. My deepest gratitude to him.
3,-0.68062,-0.8527,-0.5267,0.105863521,"Our teams report that the most needed items are food, shelter, pain killers, antibiotics and stretchers.åÊ#NepalQuake http://t.co/5neAEBCf5p"
4,-0.604158333,-0.8126,-0.3818,0.147177021,Fatboy asked why pray for #Nepal yet God who could have stopped the catastrophe didn't do nothing about it? it's a good Qn huh!!
5,0.403243243,0.2263,0.5859,0.08794458,Dhungana family moved from Nepal 7 mnth ago. Family are okay but an orphan who lived with them is not. #cbcwdr http://t.co/izx7kUHCP2
6,-0.203376923,-0.3182,0.0258,0.10112588,#NepalQuake At this stage Dirco says it has no confirmed reports - but is working round the clock to find any affected South Africans. EC
7,0.004345455,-0.1531,0.25,0.127607714,Great initiative in the time of crisis ‡_ãD https://t.co/dAgAcOpAuL
8,-0.344907692,-0.4588,-0.2263,0.077003652,"RT @Ac_in_quest: Massive block of Earth‰Ûªs crust, 75 miles long &amp; 37 miles wide, lurched 10 feet to south Saturday over course of 30 seconds‰Û_"
9,0.797148276,0.5859,0.9001,0.084787169,If this d best #SoulVultures can pin GOI &amp; Modi on 4 #NepalQuakeRelief @rupasubramanya I am really proud of my Gov. https://t.co/N5iQ3QEL0n
10,-0.5595,-0.836,-0.3612,0.11884045,RT @nytimes: Nepal's government is only gradually getting a grasp of destruction in the worst-hit villages http://t.co/DzHvwGV2uO
,,,,,
,,,,,
,,,,,
#considering 20 Clusters:,,,,,
  Cluster id  ,  Average  ,  Min  ,  Max  ,  SD  ,  Tweet  
1,-0.739666667,-0.8442,-0.6124,0.076456376,RT @501Awani: [LATEST] Nepal Quake: Avalanche killed 22 so far and 167 mountaineers still reported missing at Mount Everest - Indian Army O‰Û_
2,0,0,0,0,RT @IsraelandStufff: Photo Album: #Israel‰Ûªs Medical Assistance in #Nepal Begins  First humanitarian mission aircraft has landed in... http:‰Û_
3,0.631409091,0.5106,0.7845,0.075659929,RT @hstapanghosh: US Pastor Tony Miano suggestS Nepalis should not rebuild their 'pagan shrines' http://t.co/VrrGV7lnp3 BRIGHT EXAMPLE OF P‰Û_
4,0.493775,0.3818,0.5859,0.10760438,"Dear Pakistan, are out of your mind? http://t.co/gMmjrE4n3b"
5,-0.32905,-0.4404,-0.1779,0.117819877,"Choppers ferry injured in Nepal; new mudslide hits village: GORKHA, Nepal (AP) ‰ÛÓ Helicopters cri... http://t.co/cwncd7EXic &lt;--Full Story"
6,0.80835,0.6369,0.8979,0.120363187,"Yes I agree ""a selfless service"". a learning for others.  https://t.co/j7yEY4nU5I"
7,0.655422222,0.34,0.8176,0.141106812,Shared via NBC News for Windows Phone 8 http://t.co/kaRVoDpEYb
8,0.500238462,0.296,0.7003,0.111900116,There are miracles everyday! #proudofindianforces https://t.co/9gIPGyY8Rx
9,-0.485533333,-0.5574,-0.4404,0.062914651,"RT @Ac_in_quest: Massive block of Earth‰Ûªs crust, 75 miles long &amp; 37 miles wide, lurched 10 feet to south Saturday over course of 30 seconds‰Û_"
10,-0.21652,-0.3182,0,0.111655898,@timesofindia @meaindia :Not only Indians but who ever wants shelter from Nepal migrants to be kept in rehabilitation camps.
11,-0.585966667,-0.7003,-0.4939,0.056195412,Americans Desperately Wait for Word From Nepal: The catastrophic earthquake over the weekend took out power and phone service for who...
12,0.249285714,0.0258,0.3612,0.11724701,Dhungana family moved from Nepal 7 mnth ago. Family are okay but an orphan who lived with them is not. #cbcwdr http://t.co/izx7kUHCP2
13,-0.474057143,-0.6492,-0.3818,0.089911676,Fatboy asked why pray for #Nepal yet God who could have stopped the catastrophe didn't do nothing about it? it's a good Qn huh!!
14,0.8327375,0.7506,0.9001,0.050585965,RT @PatOndabak: IRONY ALERT: Harper Govt claims credit for actions of charities like Red Cross &amp; World Vision... as they audit charities #N‰Û_
15,-0.29780625,-0.4939,-0.1027,0.128141721,@RanvirShorey location of Vipul in nepal. Vipul died in Nepal. Need help to get his body back to mumbai http://t.co/sS3QsjV50z
16,-0.00315,-0.1531,0.1027,0.047489044,@Babu_Bhaiyaa @Dec3rd_q  Act as frnd in time of trouble. frnd can wipe tear. But India isn't mother of Nepal. Sovereign cntrs r equal.
17,0.463768421,0.3612,0.7003,0.071596617,Everyone let's help out @CrawfordCollins ‰ÏÜ‰ÏÜ‰ÏÜ‰ÏÜ  ‰_Á https://t.co/BNWueSjqaa ‰ÂÉ   To donate ‰_Á‰_Á‰_Á‰_Á‰_Á‰_Á https://t.co/xivUtSzZZs  ‡__C
18,-0.760858333,-0.8527,-0.6124,0.076055261,Anyone else find it obscene that two guys punching each other in the head attracts a $300million pay day while the people of Nepal starve?
19,0.169025,-0.0258,0.3818,0.136614794,"RT @RobTatumMMA: It's easy to get caught in the #MMA bubble, but the shit that's happening in Nepal and Baltimore is way more important tha‰Û_"
20,-0.015013793,-0.1531,0,0.040750309,"PlanGlobal: Watch PlanGlobal davtox on CNN in ten minutes, discussing #NepalEarthquake and Plan's response from the stranded plane to Kathm‰Û_"
,,,,,
,,,,,
#considering 30 Clusters:,,,,,
  Cluster id  ,  Average  ,  Min  ,  Max  ,  SD  ,  Tweet  
1,0,0,0,0,RT @eoiktmnp: Buses leaving for Gorakhpur carrying stranded Indians from Tilganga bridge near Kathmandu Intl Airport @MEAIndia http://t.co/‰Û_
